"channel" "electrode" "x1-coords" "x2-coords" "y"
"1" 1 "FP1" -0.247 0.761 2.34
"2" 2 "FP2" 0.247 0.761 1.63
"3" 3 "F3" -0.313 0.434 3.11
"4" 4 "F4" 0.313 0.434 3.01
"5" 5 "C3" -0.4 0 1.51
"6" 6 "C4" 0.4 0 1.93
"7" 7 "P3" -0.313 -0.434 2.51
"8" 8 "P4" 0.313 -0.434 1.85
"9" 9 "O1" -0.247 -0.761 2.32
"10" 10 "O2" 0.247 -0.761 1.59
"11" 11 "F7" -0.647 0.47 2.96
"12" 12 "F8" 0.647 0.47 1.3
"13" 13 "T3" -0.8 0 1.19
"14" 14 "T4" 0.8 0 -0.55
"15" 15 "T5" -0.647 -0.47 1.87
"16" 16 "T6" 0.647 -0.47 0.7
"17" 17 "Fz" 0 0.4 3.47
"18" 18 "Cz" 0 0 1.97
"19" 19 "Pz" 0 -0.4 2.66
