"sex" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "y1" "y2" "y3" "y4" "y5" "y6" "y7" "y8"
"1" "f" 5 53 0 0 -2 18 72 92 193 -27 0 33 105 176 114 38
"2" "f" 51 55 0 0 25 56 98 99 191 -31 0 33 106 171 105 15
"3" "f" 36 59 0 0 12 38 91 100 187 -31 0 36 102 171 103 19
"4" "f" 23 48 0 0 3 33 84 94 202 -30 0 39 103 180 112 28
"5" "f" 30 62 0 0 11 37 85 96 185 -25 0 32 101 168 106 21
"6" "f" 4 65 0 0 -4 15 69 102 195 -21 0 34 100 180 120 34
"7" "f" 37 62 0 0 20 50 102 105 195 -32 0 35 101 173 105 22
"8" "f" 41 58 0 0 15 47 93 99 191 -34 0 34 100 175 105 18
"9" "f" 40 52 0 0 13 44 88 102 190 -33 0 38 107 176 113 31
"10" "f" -4 62 0 0 1 9 70 100 179 -21 0 29 89 164 111 36
"11" "f" 41 53 0 0 11 47 95 95 206 -25 0 39 104 177 111 26
"12" "f" 33 55 0 0 7 39 89 95 197 -30 0 35 106 175 111 24
"13" "f" -12 52 0 0 -10 4 66 80 205 -15 0 38 111 187 129 44
"14" "f" 13 56 0 0 8 25 80 97 186 -32 0 34 101 166 105 26
"15" "f" 20 45 0 0 10 31 84 90 186 -31 0 34 96 165 104 19
"16" "f" 29 55 0 0 10 39 82 95 183 -31 0 32 98 163 106 17
"17" "f" 11 57 0 0 -2 23 77 100 203 -28 0 39 106 182 122 36
"18" "f" 37 54 0 0 11 43 84 93 187 -27 0 34 100 171 106 28
"19" "f" 49 53 0 0 21 54 94 99 191 -31 0 35 102 172 98 18
"20" "f" -8 57 0 0 -7 6 71 101 191 -34 0 32 93 173 119 30
"21" "f" 43 49 0 0 14 49 91 98 184 -32 0 33 100 165 99 20
"22" "f" 57 62 0 0 22 61 96 104 185 -37 0 35 103 169 100 24
"23" "f" -10 55 0 0 -10 5 73 88 196 -20 0 38 107 181 123 46
"24" "f" 20 60 0 0 6 33 84 100 195 -28 0 32 101 173 114 30
"25" "f" 35 59 0 0 6 41 83 99 202 -27 0 34 108 182 117 31
"26" "f" 1 60 0 0 -2 12 70 93 188 -19 0 35 99 170 119 45
"27" "f" 24 52 0 0 8 34 80 95 194 -24 0 39 105 174 115 32
"28" "f" 25 55 0 0 7 35 83 92 204 -27 0 34 108 185 118 32
"29" "f" 36 47 0 0 14 43 92 98 198 -30 0 39 110 177 105 25
"30" "f" 8 53 0 0 4 22 82 100 198 -35 0 34 101 175 111 24
"31" "m" 53 46 0 0 12 58 93 103 220 -35 0 37 122 204 117 28
"32" "m" 57 50 0 0 13 61 102 104 219 -43 0 37 119 198 110 20
"33" "m" 89 52 0 0 35 93 131 104 227 -47 0 32 120 201 92 4
"34" "m" 46 51 0 0 11 54 101 101 222 -45 0 30 113 196 117 16
"35" "m" 85 48 0 0 28 87 121 103 220 -38 0 39 125 203 106 7
"36" "m" 64 43 0 0 22 67 104 101 208 -39 0 36 111 191 102 18
"37" "m" 67 51 0 0 17 68 108 94 216 -37 0 35 119 191 109 15
"38" "m" 35 61 0 0 2 43 90 104 236 -42 0 33 119 211 126 30
"39" "m" 116 40 0 0 41 116 133 103 218 -38 0 41 124 201 94 12
"40" "m" 56 60 0 0 12 58 109 112 234 -34 0 34 121 215 119 28
"41" "m" 40 58 0 0 9 46 97 112 223 -36 0 34 113 202 120 24
"42" "m" 94 49 0 0 31 94 136 113 223 -57 0 33 122 206 99 -1
"43" "m" 68 59 0 0 18 68 104 98 222 -41 0 30 119 204 114 11
"44" "m" 65 56 0 0 15 67 108 95 224 -33 0 35 130 205 115 20
"45" "m" 67 52 0 0 26 74 114 104 214 -47 0 36 115 192 105 11
"46" "m" 110 52 0 0 42 109 133 108 213 -46 0 37 121 190 97 -8
"47" "m" 46 50 0 0 11 56 104 102 219 -42 0 36 121 199 108 21
"48" "m" 79 66 0 0 24 84 108 109 209 -43 0 35 114 193 115 14
"49" "m" 58 74 0 0 7 64 98 100 244 -22 0 37 131 219 128 29
"50" "m" 43 64 0 0 12 52 110 105 236 -43 0 33 124 215 121 7
"51" "m" 70 54 0 0 28 74 122 107 226 -37 0 39 121 204 105 7
"52" "m" 68 55 0 0 18 71 109 98 224 -37 0 35 121 207 108 13
"53" "m" 34 63 0 0 4 45 104 110 247 -35 0 35 124 225 135 29
"54" "m" 49 59 0 0 19 59 105 109 236 -40 0 38 127 219 121 25
"55" "m" 98 44 0 0 30 98 121 105 195 -44 0 36 116 177 89 10
"56" "m" 109 49 0 0 29 105 120 102 208 -40 0 36 125 189 102 12
"57" "m" 61 51 0 0 15 67 107 103 224 -35 0 41 122 206 121 25
"58" "m" 43 49 0 0 20 58 112 108 213 -57 0 28 111 194 106 6
"59" "m" 26 67 0 0 -11 33 87 97 249 -14 0 38 130 225 148 53
